tag_id,nome,hora_entrada,hora_saida,tempo_cocho,peso_animal,peso_racao,%,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-03 13:18:29,2025-10-03 13:20:13,1m 43s,79.875,302.78,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-03 13:20:36,2025-10-03 13:21:01,0m 25s,75.037,300.338,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-03 13:21:07,2025-10-03 13:22:28,1m 20s,79.18,300.263,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-03 13:22:37,2025-10-03 13:23:18,0m 41s,78.758,302.184,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-03 13:23:24,2025-10-03 13:24:04,0m 39s,80.537,302.036,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-03 13:24:18,2025-10-03 13:24:51,0m 33s,82.255,318.012,,
34E23000E2806A960000401CCB84F52A,Ovelha001,2025-10-03 16:23:53,2025-10-03 16:24:44,0m 51s,96.284,8209.408,,
34E23000E2806A960000401CCB84F52A,Ovelha001,2025-10-03 16:27:43,2025-10-03 16:29:00,1m 16s,-1,483.016,,
34E23000E2806A960000401CCB84F52A,Ovelha001,2025-10-03 16:30:45,2025-10-03 16:35:21,4m 35s,-1,482.819,,
34E23000E2806A960000401CCB84F52A,Ovelha001,2025-10-03 16:40:24,2025-10-03 16:41:22,0m 57s,-1,482.443,,
D4E63000E2806A960000501CCB867555,12,2025-10-03 16:47:37,2025-10-03 16:57:20,9m 43s,70.985,383.158,,
C0343000E2806A960000401CCB755969,40,2025-10-03 16:58:27,2025-10-03 17:06:25,7m 57s,79.972,402.11,,
D4E63000E2806A960000501CCB867555,12,2025-10-03 17:06:34,2025-10-03 17:07:02,0m 27s,70.985,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 17:07:06,2025-10-03 17:11:05,3m 59s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 17:14:11,2025-10-03 17:17:44,3m 32s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 17:22:24,2025-10-03 17:24:27,2m 2s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 17:59:53,2025-10-03 18:03:13,3m 19s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 18:05:45,2025-10-03 18:07:20,1m 35s,79.972,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-03 18:07:43,2025-10-03 18:07:59,0m 15s,70.985,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 18:08:01,2025-10-03 18:10:02,2m 0s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 18:14:08,2025-10-03 18:16:33,2m 25s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-03 18:16:47,2025-10-03 18:17:29,0m 41s,79.972,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-03 22:35:38,2025-10-03 22:37:55,2m 17s,70.985,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 6:38:00,2025-10-04 6:38:53,0m 53s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 6:39:35,2025-10-04 6:41:23,1m 48s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 6:41:32,2025-10-04 6:42:03,0m 31s,79.972,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 6:42:15,2025-10-04 6:42:31,0m 16s,70.985,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 6:42:34,2025-10-04 6:43:33,0m 58s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 6:44:58,2025-10-04 6:46:06,1m 8s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 6:49:56,2025-10-04 6:50:13,0m 17s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 7:00:07,2025-10-04 7:02:02,1m 55s,79.972,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 7:47:37,2025-10-04 7:58:27,10m 49s,74.189,401.388,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 7:58:29,2025-10-04 8:06:01,7m 32s,78.949,351.099,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:06:05,2025-10-04 8:06:16,0m 10s,78.949,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 8:06:23,2025-10-04 8:06:57,0m 33s,74.189,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:08:29,2025-10-04 8:08:43,0m 14s,78.949,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 8:08:47,2025-10-04 8:10:06,1m 18s,74.189,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:10:27,2025-10-04 8:11:13,0m 45s,78.949,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 8:11:17,2025-10-04 8:15:58,4m 40s,74.189,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:16:43,2025-10-04 8:18:20,1m 37s,78.949,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 8:18:29,2025-10-04 8:20:10,1m 41s,74.189,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 8:20:44,2025-10-04 8:21:35,0m 50s,74.189,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:22:42,2025-10-04 8:23:05,0m 23s,78.949,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:24:33,2025-10-04 8:32:48,8m 14s,66.163,353.511,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:34:47,2025-10-04 8:35:32,0m 44s,66.163,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 8:57:39,2025-10-04 8:58:25,0m 45s,66.163,-2,,
C0343000E2806A960000401CCB755969,40,2025-10-04 9:12:51,2025-10-04 9:13:46,0m 55s,75.752,401.379,,
D4E63000E2806A960000501CCB867555,12,2025-10-04 17:42:37,2025-10-04 18:02:52,20m 14s,72.596,352.91,,
C0343000E2806A960000401CCB755969,40,2025-10-04 18:23:52,2025-10-04 18:37:33,13m 40s,72.596,352.91,,
C0343000E2806A960000401CCB755969,40,2025-10-04 18:37:54,2025-10-04 18:40:56,3m 1s,72.596,352.91,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:23:31,2025-10-06 16:25:44,2m 12s,-1,3391.858,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:26:00,2025-10-06 16:26:57,0m 56s,-1,3296.878,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:54:16,2025-10-06 16:55:18,1m 1s,-1,4319.878,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:56:00,2025-10-06 16:56:50,0m 49s,-1,301.394,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:58:52,2025-10-06 16:59:15,0m 23s,-1,301.198,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:59:22,2025-10-06 16:59:49,0m 27s,-1,301.571,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 16:59:51,2025-10-06 17:00:14,0m 23s,-1,302.063,,
